STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,NOR,Norway,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,32.956494196664,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,POL,Poland,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,19.9094282190698,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,PRT,Portugal,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,22.8441590040747,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,SVK,Slovak Republic,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,19.8927257716589,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,SVN,Slovenia,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,22.8360467223704,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,ESP,Spain,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,21.3580328891593,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,SWE,Sweden,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,43.8132660792311,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,CHE,Switzerland,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,20.6226178250972,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,GBR,United Kingdom,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,27.3803726906697,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,USA,United States,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,21.6313085848027,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
